n,m,seed,sample,input_value_lsb,flipped_bit_1_based,distance
16,8,501,7,38398,14,0.9375
16,8,501,8,65472,10,0.875
16,8,501,9,46863,12,0.8125
16,8,501,10,40603,2,0.75
16,8,501,11,58225,1,1.0
16,8,501,12,13315,9,0.8125
16,8,501,13,5420,2,0.875
16,8,501,14,63863,8,0.9375
16,8,501,15,26958,13,0.6875
16,8,501,16,34453,14,0.8125
16,8,501,17,15592,16,0.875
16,8,501,18,55344,4,0.8125
16,8,501,19,6138,7,0.9375
16,8,501,20,34988,15,0.875
16,8,501,21,54160,16,0.875
16,8,501,22,51348,9,0.75
16,8,501,23,2050,9,0.8125
16,8,501,24,45590,8,0.875
16,8,501,25,46230,13,0.625
16,8,501,26,37672,8,0.75
16,8,501,27,30531,10,1.0
16,8,501,28,22774,13,0.75
16,8,501,29,46358,7,0.875
16,8,501,30,50253,9,1.0
16,8,501,31,39018,3,0.9375
16,8,502,0,31761,12,0.75
16,8,502,1,20988,14,0.875
16,8,502,2,55619,2,0.8125
16,8,502,3,60331,11,0.875
16,8,502,4,63035,13,0.8125
16,8,502,5,21590,7,0.8125
16,8,502,6,56676,6,0.875
16,8,502,7,53267,12,0.9375
16,8,502,8,33152,8,0.9375
16,8,502,9,60970,15,0.875
16,8,502,10,36435,4,1.0
16,8,502,11,11318,11,1.0
16,8,502,12,62456,13,0.9375
16,8,502,13,18989,9,0.9375
16,8,502,14,40657,12,0.8125
16,8,502,15,60801,12,0.8125
16,8,502,16,5642,13,0.8125
16,8,502,17,58312,7,0.875
16,8,502,18,1392,15,0.9375
16,8,502,19,40659,5,0.6875
16,8,502,20,60252,4,0.9375
16,8,502,21,1459,2,0.9375
16,8,502,22,8240,9,0.8125
16,8,502,23,51926,2,0.8125
16,8,502,24,17768,13,0.9375
16,8,502,25,19967,16,0.75
16,8,502,26,43128,2,0.75
16,8,502,27,53563,13,0.875
16,8,502,28,49813,8,0.8125
16,8,502,29,33594,15,0.8125
16,8,502,30,10779,11,0.9375
16,8,502,31,31642,6,0.9375
16,8,503,0,25657,6,1.0
16,8,503,1,47422,14,0.9375
16,8,503,2,1039,10,1.0
16,8,503,3,8781,13,0.75
16,8,503,4,2604,12,0.8125
16,8,503,5,44642,10,0.875
16,8,503,6,43405,3,0.8125
16,8,503,7,39275,3,0.875
16,8,503,8,9701,1,0.875
16,8,503,9,27236,7,0.9375
16,8,503,10,32611,10,0.875
16,8,503,11,995,1,0.75
16,8,503,12,44865,11,0.875
16,8,503,13,1600,11,1.0
16,8,503,14,8532,8,0.875
16,8,503,15,43532,1,0.875
16,8,503,16,18483,13,0.9375
16,8,503,17,41149,4,1.0
16,8,503,18,55015,15,0.8125
16,8,503,19,53167,6,0.875
16,8,503,20,16101,11,0.9375
16,8,503,21,25021,15,0.8125
16,8,503,22,25685,7,0.9375
16,8,503,23,29013,2,0.875
16,8,503,24,54546,1,0.9375
16,8,503,25,16626,5,0.875
16,8,503,26,31019,13,0.8125
16,8,503,27,8823,11,0.9375
16,8,503,28,5907,9,0.6875
16,8,503,29,24776,13,0.875
16,8,503,30,54909,4,0.9375
16,8,503,31,45175,7,0.9375
20,8,501,0,562229,14,1.0
20,8,501,1,523261,11,0.9375
20,8,501,2,287278,18,0.9375
20,8,501,3,306893,2,0.8125
20,8,501,4,78953,5,0.8125
20,8,501,5,168936,5,0.9375
20,8,501,6,270664,9,0.875
20,8,501,7,979569,10,0.75
20,8,501,8,874640,16,0.9375
20,8,501,9,623204,12,0.9375
20,8,501,10,739299,18,1.0
20,8,501,11,649653,2,0.875
20,8,501,12,931602,1,0.8125
20,8,501,13,213046,9,0.75
20,8,501,14,86725,2,0.875
20,8,501,15,1021821,8,0.875
20,8,501,16,431338,13,0.875
20,8,501,17,551260,14,0.75
20,8,501,18,249476,16,1.0
20,8,501,19,885509,4,0.875
20,8,501,20,98215,7,0.9375
20,8,501,21,559816,17,0.875
20,8,501,22,949511,14,1.0
20,8,501,23,1004645,13,0.9375
20,8,501,24,574242,1,0.75
20,8,501,25,556763,12,0.75
20,8,501,26,495750,12,0.8125
20,8,501,27,812863,10,0.875
20,8,501,28,518930,8,0.875
20,8,501,29,639553,6,0.9375
20,8,501,30,792794,12,1.0
20,8,501,31,415687,19,0.875
20,8,502,0,508187,12,0.875
20,8,502,1,335814,14,0.75
20,8,502,2,889917,2,0.9375
20,8,502,3,965301,19,0.875
20,8,502,4,657019,16,0.875
20,8,502,5,839119,6,1.0
20,8,502,6,423827,14,1.0
20,8,502,7,366835,14,0.75
20,8,502,8,748940,9,0.875
20,8,502,9,509584,15,0.875
20,8,502,10,980952,9,0.8125
20,8,502,11,238287,18,0.9375
20,8,502,12,181091,11,0.875
20,8,502,13,999308,17,1.0
20,8,502,14,798936,5,1.0
20,8,502,15,550031,10,0.75
20,8,502,16,760152,15,1.0
20,8,502,17,755080,2,0.8125
20,8,502,18,823710,15,0.75
20,8,502,19,441781,1,0.8125
20,8,502,20,923506,10,0.875
20,8,502,21,323764,15,0.875
20,8,502,22,249234,1,0.9375
20,8,502,23,125261,3,0.8125
20,8,502,24,572551,13,0.75
20,8,502,25,92970,5,0.9375
20,8,502,26,845027,17,0.875
20,8,502,27,319483,16,0.9375
20,8,502,28,690057,17,0.8125
20,8,502,29,99862,14,0.8125
20,8,502,30,809846,13,0.8125
20,8,502,31,491977,18,0.9375
